NO,DATE,Bintang 5,Bintang 4,Bintang 3,Bintang 2,Bintang 1
1,Jan-20,63.26,61.60,53.42,54.47,59.29
2,Feb-20,45.32,45.08,46.82,49.84,45.98
3,Mar-20,22.15,26.55,28.70,23.84,25.41
4,Apr-20,3.97,1.95,2.06,6.78,3.22
5,May-20,1.25,2.04,1.06,4.76,2.07
6,Jun-20,1.80,2.41,2.11,1.28,2.07
7,Jul-20,1.67,2.89,3.22,3.29,2.57
8,Aug-20,3.46,3.37,4.27,4.45,0.10
9,Sep-20,5.08,4.81,5.92,6.49,0.00
10,Oct-20,8.64,9.44,11.26,8.95,4.95
11,Nov-20,9.30,8.56,10.40,9.99,3.71
12,Dec-20,23.68,18.72,15.20,15.64,2.83
13,Jan-21,9.63,11.92,11.62,11.76,0.00
